source,target,distance
45,550,0.8779006220136992
128,550,0.881381875528629
131,550,0.8852115318129403
175,550,0.8807333672048503
196,550,0.8779006220136992
247,550,0.8810671889210875
476,550,0.882321853036917
68,553,0.8795307130608165
163,553,0.8996641749701232
165,553,0.879595563640072
197,553,0.8861773591640751
374,553,0.8795307130608165
423,553,0.8710320815207696
427,553,0.8818483072564441
477,553,0.8789500586214588
518,553,0.8953432840160346
550,553,0.8765692135859007
27,585,0.8760130772317826
45,585,0.8700434173022009
128,585,0.8734540961164765
131,585,0.8771190227512875
175,585,0.8728161062889328
196,585,0.8700434173022009
247,585,0.8731435348031411
476,585,0.874087273962694
68,633,0.8767633167886395
163,633,0.8773792009434632
374,633,0.8767633167886395
518,633,0.873278002109341
27,662,0.9148188240707885
45,662,0.9104392742459787
128,662,0.9133861742309854
131,662,0.9164417173040457
157,662,0.8958172477572999
168,662,0.8956408958994005
175,662,0.9127975582927477
196,662,0.9104392742459787
232,662,0.8706013801573763
247,662,0.9130857618075436
270,662,0.8823291216627386
277,662,0.8781014047383886
293,662,0.8788141427053131
336,662,0.8991276641596209
371,662,0.8813291916284502
422,662,0.8841480879305557
476,662,0.9129700116031231
553,662,0.9076502192493228
633,662,0.8918940030717896
27,663,0.9032057471503748
45,663,0.9032808340671148
128,663,0.9053825675090741
131,663,0.9056959220793614
157,663,0.8904491020811368
168,663,0.8798070948080057
175,663,0.9050273472340155
196,663,0.9032808340671148
247,663,0.9052067633942161
293,663,0.8793095857136534
336,663,0.9032202643072547
422,663,0.8798619909496831
476,663,0.9011838909735614
553,663,0.8974658254984489
633,663,0.8948079289158839
27,664,0.8903781614830961
45,664,0.8850282709245966
128,664,0.8881798230868029
131,664,0.8916282211570506
175,664,0.8875693509529994
196,664,0.8850282709245966
247,664,0.8878758013352537
336,664,0.8720682270982125
476,664,0.8885582003858369
553,664,0.8831098369747752
163,667,0.8750589077987583
518,667,0.8710150980262982
662,667,0.8870250083814046
663,667,0.8702571669314806
131,678,0.8704289679606648
27,696,0.8988466730337576
45,696,0.8837045461618621
128,696,0.8882514212304429
131,696,0.8965367719008335
168,696,0.8752915323660074
175,696,0.8873770771200626
196,696,0.8837045461618621
232,696,0.8775219616663353
247,696,0.8878438252919754
476,696,0.8979550326957191
553,696,0.8912184884573275
